Postcode,Longtitude,Latitude
2737,142.9,-34.6
2738,142.2,-34.2
2739,142.2,-34.2
3391,142.4,-36.1
3392,142.7,-36.4
3393,142.4,-36.3
3395,142.4,-35.9
3396,142.3,-35.7
3399,142.4,-36.6
3400,142.2,-36.7
3401,141.9,-36.9
3407,141.9,-37.3
3409,141.9,-36.7
3412,141.4,-36.7
3414,142.1,-36.4
3415,141.3,-36.4
3418,141.5,-36.1
3419,141.1,-36.2
3423,141.9,-36.1
3424,141.9,-35.7
3482,142.8,-36.2
3483,142.9,-35.9
3485,142.7,-35.7
3487,142.6,-35.5
3488,142.4,-35.4
3489,142.4,-35.3
3490,142.2,-34.9
3491,142.2,-35.4
3494,142.3,-34.5
3496,141.4,-34.6
3498,142.2,-34.2
3500,142.4,-34.3
3501,142.1,-34.2
3505,142,-34.2
3506,141.4,-35.2
3507,142,-35.1
3509,141.7,-35.2
3512,141.1,-35.4
3515,144.1,-36.7
3520,143.8,-36.4
3527,143.2,-36.1
3529,143.2,-35.8
3530,143.2,-35.7
3531,142.9,-35.6
3533,142.8,-35.4
3537,143.7,-36.1
3540,143.5,-35.9
3542,143.4,-35.7
3544,143.1,-35.5
3546,142.9,-35.1
3549,142.8,-34.8
3563,144.5,-36.3
3567,144.3,-35.9
3568,144.2,-35.8
3573,144.3,-36.2
3576,143.9,-36.1
3579,143.8,-35.8
3580,144.1,-35.6
3581,143.8,-35.6
3583,143.7,-35.5
3584,143.6,-35.4
3585,143.3,-35.3
3588,143.5,-35.3
3589,143.4,-35.2
3590,143.5,-35.2
3591,143.4,-35.2
3594,143.3,-35.1
3595,143.4,-35.2
3596,143.3,-35.1
3597,143.2,-35
3599,143.1,-34.7
5238,139.5,-34.9
5267,140.3,-36.1
5268,140.8,-36.2
5269,140.9,-36.3
5301,140,-35.4
5302,140.3,-35.6
5303,140.7,-35.2
5304,140.7,-35.6
5306,139.7,-35.1
5307,140.2,-35
5308,140.1,-34.6
5309,140.1,-34.9
5310,140.4,-34.8
5311,140.8,-34.7
5312,140.5,-34.6
5320,139.5,-34
5321,139.8,-34.1
5322,140,-34.2
5330,140,-33.9
5331,140.3,-34.2
5332,140.3,-34.3
5333,140.6,-34.5
5340,140.8,-34.2
5341,140.8,-33.7
5342,140.6,-34.2
5343,140.6,-34.3
5344,140.5,-34.3
5345,140.5,-34.2
5346,140.4,-34.3
5353,139.3,-34.6
5354,139.7,-34.5
5357,139.5,-34.3
5381,139.1,-34
5418,139.1,-33.4
5419,138.9,-33.4
5420,139,-33.3
5421,139,-33.1
5480,138.3,-33.1
5481,138.2,-33
5482,138.4,-32.8
5483,138.1,-32.9
5485,138.2,-32.5
5490,138.5,-33.2
5491,138.6,-33.2
5493,138.7,-33
5495,137.9,-32.9
5501,138.5,-34.6
5502,138.6,-34.5
5510,138.2,-33.9
5520,138.1,-33.8
5521,138.2,-33.6
5522,138,-33.6
5523,138.2,-33.4
5540,138.1,-33.2
5550,138.2,-34.1
5552,137.9,-34.1
5554,137.8,-33.9
5555,137.8,-33.8
